gender,eco,race
-0.1193,0.2264,-0.0538
-0.1101,0.1954,-0.0545
-0.1111,0.1523,-0.08
-0.1131,-0.1661,-0.056
-0.1666,0.165,-0.1125
-0.1131,0.1299,-0.0597
-0.1377,0.2829,-0.0818
-0.1201,-0.1042,-0.0688
-0.119,-0.1314,-0.0586
-0.1042,0.4662,-0.0973
-0.1082,0.1636,-0.1184
-0.11,-0.1144,-0.0549
-0.104,0.1061,-0.0547
0.1099,0.1459,-0.1394
-0.1124,0.1274,-0.0847
-0.1002,-0.1072,-0.0568
0.1835,-0.1397,-0.0511
-0.1061,0.1524,-0.0717
0.1151,-0.1393,-0.0733
-0.1868,-0.1235,-0.06
-0.1259,0.103,-0.0518
0.1502,0.1279,-0.1999
-0.1179,-0.1146,0.0668
-0.1019,-0.1596,0.0561
-0.192,0.1199,-0.0946
-0.1207,0.1037,0.0552
-0.1122,0.2031,-0.1053
-0.1031,0.1748,-0.0537
0.1126,0.1539,-0.0922
-0.1668,-0.1891,-0.0517
0.213,-0.2187,-0.1031
0.3254,-0.1486,-0.0977
0.4015,0.1012,-0.0718
0.1902,0.1461,-0.1286
-0.1165,0.1183,-0.0514
0.1248,-0.1183,0.0577
0.1652,-0.1098,-0.0566
-0.1161,0.1282,-0.0603
0.1328,0.1521,-0.0813
0.2264,-0.1085,-0.0535
